customer_id,address_state,emp_length,home_ownership,annual_income,verification_status
153468,SC,2 years,MORTGAGE,52000,Not Verified
154006,WA,3 years,RENT,75000,Not Verified
154129,FL,7 years,MORTGAGE,52000,Not Verified
154254,TX,3 years,MORTGAGE,80800,Not Verified
154264,WA,< 1 year,RENT,88000,Not Verified
154295,MA,1 year,RENT,30000,Not Verified
154318,NJ,2 years,MORTGAGE,150000,Not Verified
154761,NJ,10+ years,RENT,51000,Not Verified
155549,NY,5 years,RENT,95000,Not Verified
155777,LA,2 years,RENT,20000,Not Verified
156043,TX,4 years,MORTGAGE,36000,Verified
156396,DE,10+ years,MORTGAGE,68686,Not Verified
156838,NY,4 years,RENT,60000,Not Verified
157162,FL,10+ years,MORTGAGE,616000,Not Verified
157525,WA,3 years,RENT,36000,Not Verified
157765,TX,1 year,RENT,44000,Not Verified
158286,NY,< 1 year,RENT,80000,Not Verified
158450,VA,2 years,RENT,80000,Not Verified
159644,MA,< 1 year,RENT,95000,Not Verified
159659,FL,3 years,RENT,12000,Not Verified
160991,VA,< 1 year,MORTGAGE,92000,Not Verified
163382,WY,3 years,RENT,24000,Not Verified
163445,GA,10+ years,MORTGAGE,32904,Not Verified
163526,NC,10+ years,OWN,48000,Not Verified
163621,WA,3 years,RENT,62000,Not Verified
163835,NY,< 1 year,RENT,18000,Not Verified
163941,FL,4 years,RENT,44400,Not Verified
164738,NY,< 1 year,RENT,200000,Not Verified
164764,OH,10+ years,RENT,40000,Not Verified
164864,GA,< 1 year,OWN,86400,Not Verified
165069,MO,1 year,MORTGAGE,30000,Not Verified
165737,FL,2 years,MORTGAGE,24000,Not Verified
166419,MA,1 year,RENT,42500,Not Verified
166429,FL,6 years,OWN,40000,Not Verified
166498,MD,10+ years,RENT,72000,Not Verified
166657,IN,8 years,RENT,33600,Not Verified
167144,NJ,1 year,RENT,50000,Not Verified
167147,NY,10+ years,RENT,44000,Not Verified
167318,MA,< 1 year,RENT,28800,Not Verified
167573,FL,1 year,RENT,72500,Not Verified
167970,CO,3 years,MORTGAGE,110244,Not Verified
168175,NY,10+ years,RENT,27000,Not Verified
168212,AZ,2 years,RENT,52000,Not Verified
168432,MD,3 years,RENT,50000,Not Verified
168673,GA,1 year,MORTGAGE,55900,Not Verified
169334,AL,1 year,OWN,42000,Not Verified
170292,IN,4 years,MORTGAGE,34992,Not Verified
170462,NY,9 years,MORTGAGE,52000,Not Verified
170750,NJ,10+ years,MORTGAGE,57000,Not Verified
170849,NC,< 1 year,MORTGAGE,96000,Not Verified
171004,NJ,10+ years,RENT,48000,Not Verified
171100,NY,< 1 year,MORTGAGE,19500,Not Verified
171282,KY,< 1 year,RENT,43000,Not Verified
171765,NY,< 1 year,RENT,105000,Not Verified
172641,UT,2 years,MORTGAGE,97000,Not Verified
173017,CO,4 years,RENT,60000,Not Verified
173899,FL,1 year,RENT,19440,Not Verified
173944,WA,10+ years,RENT,75000,Not Verified
174214,IL,3 years,MORTGAGE,26000,Not Verified
174280,AL,6 years,MORTGAGE,60000,Not Verified
174945,WI,2 years,RENT,58800,Not Verified
174986,AL,< 1 year,MORTGAGE,108000,Not Verified
175123,NJ,7 years,RENT,47000,Not Verified
175577,NJ,4 years,MORTGAGE,75000,Not Verified
176043,NY,7 years,MORTGAGE,45000,Not Verified
176187,ME,4 years,RENT,36600,Not Verified
176612,NY,< 1 year,RENT,62000,Not Verified
176989,CO,1 year,MORTGAGE,80000,Not Verified
176992,NJ,4 years,RENT,50400,Not Verified
177072,NC,2 years,RENT,77000,Not Verified
177903,NC,2 years,RENT,24000,Not Verified
177995,NE,1 year,RENT,36120,Not Verified
178070,FL,1 year,RENT,24000,Not Verified
178126,NC,10+ years,RENT,24000,Not Verified
178271,NY,< 1 year,RENT,60000,Not Verified
178968,VA,10+ years,RENT,70522.26,Not Verified
179703,CT,3 years,RENT,111000,Not Verified
179800,FL,1 year,RENT,29376,Not Verified
179879,NY,10+ years,MORTGAGE,78862,Not Verified
180033,NJ,2 years,RENT,61000,Not Verified
180337,FL,1 year,MORTGAGE,48000,Not Verified
180561,NY,8 years,MORTGAGE,120000,Not Verified
180658,FL,10+ years,MORTGAGE,73000,Not Verified
181614,NY,6 years,RENT,25480,Not Verified
181632,CO,< 1 year,RENT,24600,Not Verified
182083,GA,2 years,MORTGAGE,54099,Not Verified
182441,FL,< 1 year,RENT,50952,Not Verified
182527,NJ,< 1 year,OWN,25000,Not Verified
182594,TX,< 1 year,MORTGAGE,148000,Not Verified
182839,IN,2 years,RENT,48000,Not Verified
182917,MD,1 year,RENT,45000,Not Verified
182935,CA,2 years,RENT,24000,Source Verified
183323,TX,< 1 year,RENT,19000,Not Verified
183496,FL,< 1 year,MORTGAGE,120000,Not Verified
183619,FL,1 year,MORTGAGE,36500,Not Verified
183930,VA,1 year,RENT,41300,Not Verified
184146,NY,1 year,RENT,100000,Not Verified
184693,NJ,3 years,RENT,60000,Not Verified
184901,IN,< 1 year,RENT,5000,Not Verified
185669,NY,1 year,OWN,135000,Not Verified
185681,OR,1 year,MORTGAGE,60600,Not Verified
186229,AZ,7 years,MORTGAGE,82000,Verified
186347,CA,< 1 year,MORTGAGE,120000,Not Verified
186568,IL,6 years,MORTGAGE,100671.39,Not Verified
186773,NY,6 years,RENT,83000,Not Verified
187320,CA,2 years,RENT,42500,Not Verified
187430,CA,< 1 year,RENT,67000,Not Verified
187665,CA,< 1 year,RENT,87000,Not Verified
187731,MD,< 1 year,RENT,24960,Not Verified
188413,CO,1 year,RENT,58000,Not Verified
188466,CA,10+ years,RENT,62000,Not Verified
188654,TX,5 years,MORTGAGE,40000,Not Verified
189204,CA,< 1 year,RENT,19800,Not Verified
189345,NY,1 year,RENT,65000,Not Verified
189776,TX,10+ years,MORTGAGE,100000,Not Verified
190375,CA,1 year,RENT,47000,Not Verified
190578,CA,7 years,RENT,97188,Not Verified
190819,FL,5 years,RENT,75000,Not Verified
191003,NH,< 1 year,RENT,39975,Not Verified
191024,MA,5 years,RENT,54000,Not Verified
191101,CA,< 1 year,RENT,107000,Not Verified
191813,NM,10+ years,RENT,38556,Not Verified
192688,LA,4 years,RENT,21600,Not Verified
193526,WA,1 year,RENT,25920,Not Verified
193651,TX,10+ years,OWN,102000,Not Verified
194314,CA,2 years,RENT,68640,Not Verified
194436,MD,2 years,RENT,73992,Not Verified
194605,NY,10+ years,MORTGAGE,120000,Not Verified
194653,MO,8 years,RENT,36000,Not Verified
194670,CA,6 years,RENT,22000,Not Verified
196018,WA,10+ years,RENT,10000,Not Verified
196134,CA,10+ years,RENT,71000,Not Verified
196900,MD,4 years,MORTGAGE,112000,Not Verified
197013,MD,4 years,MORTGAGE,112000,Not Verified
197016,MA,10+ years,MORTGAGE,61200,Not Verified
197115,NY,3 years,RENT,120000,Not Verified
197188,WI,5 years,MORTGAGE,24000,Not Verified
197348,TX,6 years,RENT,49500,Not Verified
197916,GA,3 years,OWN,120000,Not Verified
197938,OR,3 years,RENT,26000,Not Verified
197950,WI,< 1 year,OWN,40000,Not Verified
198314,PA,3 years,RENT,85000,Verified
198937,NC,10+ years,MORTGAGE,522000,Not Verified
199014,CA,10+ years,RENT,76000,Not Verified
199451,CA,10+ years,RENT,120000,Not Verified
199555,LA,10+ years,MORTGAGE,62500,Not Verified
199865,TX,2 years,RENT,18000,Not Verified
200052,CA,10+ years,MORTGAGE,60000,Not Verified
200251,CO,2 years,RENT,27000,Not Verified
200597,CA,7 years,RENT,96000,Not Verified
200788,CA,2 years,RENT,38000,Not Verified
200841,WI,1 year,RENT,12000,Not Verified
200892,NY,9 years,MORTGAGE,50000,Not Verified
201440,CA,< 1 year,MORTGAGE,60000,Not Verified
201801,CT,3 years,RENT,133000,Not Verified
202156,CT,1 year,RENT,50000,Not Verified
202222,OH,4 years,RENT,30000,Not Verified
202271,GA,10+ years,MORTGAGE,61200,Not Verified
202352,FL,1 year,MORTGAGE,40000,Not Verified
202401,TX,6 years,RENT,49500,Not Verified
202709,WI,< 1 year,RENT,60000,Not Verified
202908,FL,8 years,MORTGAGE,88296,Not Verified
203345,NJ,< 1 year,MORTGAGE,120000,Not Verified
203522,TX,< 1 year,MORTGAGE,48000,Not Verified
204307,CA,1 year,RENT,21600,Not Verified
204314,AZ,6 years,RENT,39996,Not Verified
204491,TX,4 years,MORTGAGE,107000,Not Verified
205197,SC,< 1 year,MORTGAGE,67992,Not Verified
206195,NY,6 years,RENT,17280,Not Verified
206288,MN,10+ years,MORTGAGE,66000,Not Verified
206444,WA,8 years,RENT,45600,Not Verified
207023,LA,1 year,OWN,19800,Not Verified
207374,CA,< 1 year,RENT,41500,Not Verified
207594,NJ,2 years,RENT,69600,Not Verified
208394,FL,< 1 year,MORTGAGE,38000,Not Verified
208564,CA,2 years,RENT,78504,Not Verified
209087,HI,1 year,RENT,57600,Not Verified
209340,CA,1 year,RENT,48000,Not Verified
209350,MN,4 years,RENT,35064,Not Verified
209415,DC,3 years,RENT,91200,Not Verified
210137,MD,3 years,MORTGAGE,63000,Not Verified
210254,GA,2 years,MORTGAGE,110000,Not Verified
210596,CA,1 year,RENT,77250,Not Verified
210644,VA,< 1 year,RENT,19500,Not Verified
210769,CA,4 years,RENT,48000,Not Verified
210855,NY,3 years,RENT,36500,Not Verified
211085,NY,6 years,RENT,39270,Not Verified
211606,MD,4 years,OWN,72000,Not Verified
211765,AZ,1 year,OTHER,55000,Not Verified
211817,NY,< 1 year,OWN,75000,Not Verified
212055,NC,4 years,OWN,36000,Not Verified
212440,NY,1 year,RENT,44684.66,Not Verified
212984,NV,8 years,RENT,49896,Not Verified
213030,CA,< 1 year,RENT,48000,Not Verified
213418,AZ,2 years,RENT,30000,Not Verified
213530,MD,3 years,RENT,72000,Not Verified
213733,TX,5 years,RENT,50004,Not Verified
213853,NY,9 years,RENT,52559,Not Verified
214389,OH,4 years,RENT,84000,Not Verified
214566,OH,5 years,MORTGAGE,65000,Not Verified
214993,VA,5 years,NONE,22200,Not Verified
215085,NJ,< 1 year,MORTGAGE,38100,Not Verified
215185,TX,6 years,RENT,36000,Not Verified
215518,DC,6 years,RENT,48000,Not Verified
215591,FL,< 1 year,RENT,55000,Not Verified
215783,WA,3 years,RENT,62000,Not Verified
215855,NY,3 years,RENT,60000,Not Verified
215882,NJ,2 years,RENT,165000,Not Verified
215970,GA,10+ years,RENT,32496,Not Verified
216070,NM,10+ years,MORTGAGE,75000,Not Verified
216136,MI,1 year,MORTGAGE,52500,Not Verified
216160,VT,10+ years,MORTGAGE,115500,Not Verified
216568,CT,2 years,RENT,43000,Not Verified
216572,MD,< 1 year,RENT,48000,Not Verified
216587,OH,< 1 year,RENT,36000,Not Verified
216798,VA,2 years,OWN,32000,Not Verified
216937,IL,< 1 year,RENT,45000,Not Verified
217064,CA,10+ years,RENT,84000,Not Verified
217501,CA,< 1 year,RENT,60000,Not Verified
218047,FL,6 years,RENT,24000,Not Verified
218321,NY,10+ years,MORTGAGE,11029,Not Verified
218656,NY,< 1 year,RENT,37200,Not Verified
218822,VA,3 years,RENT,100000,Not Verified
218997,WA,3 years,RENT,37000,Not Verified
219037,CO,2 years,RENT,50000,Not Verified
219169,CO,1 year,MORTGAGE,60000,Not Verified
219312,MD,< 1 year,MORTGAGE,45000,Not Verified
219409,NY,1 year,RENT,62000,Not Verified
219919,NC,< 1 year,MORTGAGE,40500,Not Verified
219944,IA,4 years,RENT,35000,Not Verified
220027,VA,9 years,MORTGAGE,90000,Not Verified
220429,NC,5 years,MORTGAGE,62500,Not Verified
220660,MO,10+ years,MORTGAGE,109500,Verified
220762,TX,10+ years,OWN,120000,Not Verified
221224,MI,7 years,MORTGAGE,100000,Not Verified
221919,TX,1 year,MORTGAGE,44000,Not Verified
222065,CO,4 years,MORTGAGE,62000,Not Verified
222393,IA,6 years,MORTGAGE,31000,Not Verified
222675,CA,10+ years,RENT,88068,Not Verified
222752,CA,< 1 year,RENT,75000,Not Verified
223192,NJ,1 year,MORTGAGE,85000,Not Verified
223287,FL,< 1 year,MORTGAGE,75000,Not Verified
223476,CA,1 year,RENT,115500,Not Verified
223623,CA,6 years,MORTGAGE,113000,Not Verified
223916,FL,3 years,MORTGAGE,175000,Not Verified
224356,TX,1 year,MORTGAGE,57860,Not Verified
224538,NY,2 years,RENT,200000,Not Verified
224951,TX,2 years,RENT,46000,Not Verified
224975,AZ,6 years,MORTGAGE,85000,Not Verified
225082,PA,10+ years,MORTGAGE,36194,Not Verified
225341,MA,10+ years,MORTGAGE,30000,Not Verified
225530,MN,10+ years,MORTGAGE,72000,Not Verified
225734,AL,9 years,MORTGAGE,375000,Not Verified
225868,CO,< 1 year,RENT,36000,Not Verified
226102,TX,< 1 year,MORTGAGE,65000,Not Verified
226351,CA,10+ years,MORTGAGE,80000,Not Verified
226604,"ID",< 1 year,RENT,35244,Not Verified
227145,OR,3 years,RENT,24000,Not Verified
227373,TX,< 1 year,MORTGAGE,60000,Not Verified
227380,CT,10+ years,RENT,40000,Not Verified
227948,VA,< 1 year,RENT,63000,Not Verified
228006,FL,2 years,MORTGAGE,50000,Not Verified
228788,MN,3 years,RENT,95000,Not Verified
228859,CA,10+ years,RENT,32000,Not Verified
229143,CT,< 1 year,MORTGAGE,75000,Not Verified
229463,RI,7 years,RENT,69500,Not Verified
229806,TX,2 years,MORTGAGE,90000,Not Verified
229894,AZ,1 year,RENT,25000,Not Verified
230155,PA,4 years,MORTGAGE,78000,Not Verified
230210,NJ,< 1 year,MORTGAGE,90096,Not Verified
230528,NC,< 1 year,MORTGAGE,107000,Not Verified
230928,MN,10+ years,RENT,110000,Not Verified
231171,NV,1 year,RENT,73000,Not Verified
231493,MA,5 years,MORTGAGE,78000,Not Verified
231531,NM,1 year,RENT,20000,Not Verified
232106,MI,< 1 year,MORTGAGE,60000,Not Verified
232232,GA,9 years,MORTGAGE,72000,Not Verified
232274,AZ,10+ years,MORTGAGE,55200,Not Verified
232450,FL,10+ years,MORTGAGE,186063,Not Verified
232542,VA,10+ years,MORTGAGE,50000,Not Verified
232722,NY,2 years,RENT,40000,Not Verified
233817,FL,10+ years,OWN,74600,Not Verified
233903,AR,< 1 year,OWN,31000,Not Verified
234130,TX,1 year,MORTGAGE,69000,Not Verified
234342,OH,10+ years,MORTGAGE,33000,Not Verified
234484,VA,1 year,RENT,64000,Not Verified
234569,CA,10+ years,MORTGAGE,90000,Not Verified
234673,TX,10+ years,MORTGAGE,237000,Not Verified
235091,MD,10+ years,MORTGAGE,55000,Not Verified
235682,OH,3 years,MORTGAGE,65000,Not Verified
235838,CA,8 years,RENT,64000,Not Verified
237046,AZ,< 1 year,MORTGAGE,20000,Not Verified
237091,CO,1 year,RENT,35000,Not Verified
237164,MO,10+ years,RENT,47000,Not Verified
237404,CA,2 years,MORTGAGE,202000,Not Verified
237477,VT,10+ years,MORTGAGE,65000,Not Verified
237600,VA,< 1 year,RENT,28000,Not Verified
237877,GA,10+ years,MORTGAGE,49853,Not Verified
237961,LA,10+ years,MORTGAGE,80000,Not Verified
238542,MO,3 years,MORTGAGE,36000,Not Verified
238594,NY,< 1 year,RENT,30000,Not Verified
238817,CO,10+ years,MORTGAGE,88000,Not Verified
238948,LA,1 year,RENT,45000,Not Verified
238972,CO,< 1 year,RENT,51600,Not Verified
239649,OH,5 years,MORTGAGE,42000,Not Verified
239710,TX,< 1 year,MORTGAGE,57400,Not Verified
239780,NY,10+ years,OWN,80000,Not Verified
240094,NY,3 years,RENT,35427,Not Verified
240140,IL,2 years,RENT,54000,Not Verified
240346,CA,10+ years,RENT,48000,Not Verified
240491,UT,4 years,RENT,35000,Not Verified
240928,NY,10+ years,OWN,74000,Not Verified
240996,IL,10+ years,MORTGAGE,92400,Not Verified
241084,MA,5 years,RENT,38000,Not Verified
241260,TX,2 years,MORTGAGE,17544,Not Verified
241476,MN,2 years,RENT,27600,Not Verified
241486,FL,3 years,RENT,25000,Not Verified
241583,CA,10+ years,RENT,70000,Not Verified
241834,OR,1 year,RENT,40000,Not Verified
241999,NC,1 year,RENT,39996,Not Verified
242065,TX,10+ years,RENT,79636,Not Verified
242081,VA,10+ years,MORTGAGE,50000,Not Verified
242210,IL,10+ years,RENT,82000,Not Verified
242302,PA,4 years,OWN,60000,Not Verified
242344,CA,< 1 year,RENT,20400,Not Verified
242440,NY,< 1 year,RENT,18000,Not Verified
242682,CA,< 1 year,MORTGAGE,7904.04,Not Verified
242830,CA,4 years,MORTGAGE,37000,Not Verified
242899,OH,10+ years,OWN,48000,Not Verified
243033,TX,< 1 year,RENT,39000,Not Verified
243042,TX,< 1 year,MORTGAGE,83000,Not Verified
243060,VA,5 years,RENT,43000,Not Verified
243089,NJ,9 years,MORTGAGE,200000,Not Verified
243149,GA,< 1 year,RENT,22000,Not Verified
243182,CO,< 1 year,RENT,42000,Not Verified
243192,CA,8 years,RENT,69000,Not Verified
243302,CA,1 year,RENT,28000,Not Verified
243433,WA,< 1 year,RENT,31920,Not Verified
243540,KY,3 years,RENT,27000,Not Verified
243616,CA,3 years,RENT,31400,Not Verified
243788,MA,< 1 year,MORTGAGE,75000,Source Verified
243947,NY,< 1 year,MORTGAGE,45000,Not Verified
243996,TX,2 years,RENT,49200,Not Verified
244014,LA,2 years,MORTGAGE,35000,Not Verified
244192,MO,8 years,MORTGAGE,36000,Not Verified
244429,NH,6 years,OWN,44000,Not Verified
244509,TN,3 years,RENT,42000,Not Verified
245550,NJ,< 1 year,MORTGAGE,63000,Not Verified
245715,FL,< 1 year,MORTGAGE,101400,Not Verified
245749,FL,10+ years,MORTGAGE,101400,Not Verified
246119,CA,10+ years,MORTGAGE,49600,Not Verified
246166,CT,6 years,MORTGAGE,59000,Not Verified
246218,TX,2 years,RENT,38400,Not Verified
246273,NV,< 1 year,RENT,29136,Not Verified
246329,MS,10+ years,MORTGAGE,34000,Not Verified
246380,NY,10+ years,OWN,75000,Not Verified
246583,NY,2 years,RENT,70000,Source Verified
247224,CA,2 years,RENT,66000,Not Verified
247294,IL,5 years,RENT,42328,Not Verified
247412,NY,2 years,RENT,215000,Not Verified
247802,CA,< 1 year,RENT,24000,Not Verified
247990,KS,3 years,MORTGAGE,138000,Not Verified
248102,OH,< 1 year,RENT,23000,Not Verified
248126,PA,< 1 year,OWN,65000,Not Verified
248495,IA,1 year,RENT,90000,Not Verified
248534,NY,1 year,RENT,80000,Not Verified
248616,FL,10+ years,RENT,58800,Not Verified
249022,CA,4 years,RENT,37500,Not Verified
249160,GA,3 years,MORTGAGE,144000,Not Verified
249263,CA,10+ years,RENT,135000,Not Verified
249616,WA,10+ years,RENT,26000,Not Verified
249660,CA,10+ years,RENT,30000,Not Verified
249832,TX,< 1 year,MORTGAGE,32388,Not Verified
249884,IL,6 years,MORTGAGE,115000,Not Verified
250154,GA,1 year,MORTGAGE,93000,Not Verified
250508,AR,1 year,MORTGAGE,60000,Not Verified
250665,OH,10+ years,RENT,25000,Not Verified
250922,NC,10+ years,MORTGAGE,75000,Not Verified
251355,WA,1 year,RENT,17573,Not Verified
251660,MI,2 years,RENT,52000,Not Verified
251780,TX,1 year,RENT,54996,Not Verified
252166,NY,10+ years,OWN,60000,Not Verified
252221,NJ,10+ years,OWN,60000,Not Verified
252415,MI,1 year,MORTGAGE,56000,Not Verified
252463,CA,4 years,RENT,82600,Not Verified
252512,CA,10+ years,RENT,76554,Not Verified
