loan_id,customer_id,loan_amount,int_rate,installment,grade,sub_grade,loan_status,purpose,dti,total_payment,issue_date
362098,371139,4000,0.1367,136.08,D,D2,Charged Off,car,0.14,2685,2021-11-08
1044994,1275383,3000,0.1677,106.62,D,D2,Charged Off,car,0.1287,2772,2021-12-11
734343,930853,6000,0.1,193.61,B,B2,Charged Off,car,0.1529,5796,2021-04-11
126392,125914,10000,0.0807,313.67,A,A4,Fully Paid,car,0.0072,10435,2021-09-07
269289,260821,10000,0.0863,316.28,A,A5,Fully Paid,car,0.0894,11340,2021-03-08
266282,188654,8000,0.0976,257.24,B,B2,Fully Paid,car,0.1872,9149,2021-02-08
243406,243089,6000,0.0976,192.93,B,B2,Fully Paid,car,0.0484,6945,2021-02-08
226154,225530,5000,0.1393,170.72,E,E1,Fully Paid,car,0.2257,6146,2021-01-08
253727,253715,4500,0.0863,142.33,A,A5,Fully Paid,car,0,5096,2021-02-08
196380,188466,11000,0.0807,345.06,A,A4,Fully Paid,car,0.1407,12247,2021-01-08
206181,167318,3500,0.0712,108.27,A,A1,Fully Paid,car,0,3863,2021-01-08
219070,219037,6000,0.1046,194.91,B,B5,Fully Paid,car,0.0506,6982,2021-02-08
219000,218997,5500,0.092,175.42,B,B1,Fully Paid,car,0.1674,6320,2021-01-08
281384,281309,3500,0.1166,115.69,C,C3,Fully Paid,car,0.1238,4164,2021-03-08
120525,120227,4000,0.1091,130.79,C,C3,Fully Paid,car,0.18,4708,2021-08-07
253987,253974,3000,0.1103,98.26,C,C1,Fully Paid,car,0.1692,3498,2021-02-08
450292,553755,4400,0.074,136.66,A,A2,Fully Paid,car,0.0239,4920,2021-10-09
401775,446077,8500,0.0768,265.13,A,A2,Fully Paid,car,0.0223,9544,2021-05-09
373881,394401,5000,0.0768,155.96,A,A2,Fully Paid,car,0.0578,5422,2021-01-09
973780,1195796,7000,0.0662,214.93,A,A2,Fully Paid,car,0.0994,7737,2021-10-11
750759,950147,2000,0.0599,60.84,A,A2,Fully Paid,car,0.1129,2190,2021-06-11
745149,943695,2400,0.0699,74.1,A,A3,Fully Paid,car,0.0319,2667,2021-05-11
775926,978223,4800,0.0749,149.29,A,A4,Fully Paid,car,0.0242,5374,2021-06-11
651079,832879,4000,0.0729,124.04,A,A4,Fully Paid,car,0.2127,4466,2021-01-11
627209,803704,8000,0.0542,241.28,A,A1,Fully Paid,car,0.0283,8686,2021-12-10
781516,984370,3000,0.0542,90.48,A,A1,Fully Paid,car,0.0161,3014,2021-06-11
971771,1193520,8000,0.0603,243.49,A,A1,Fully Paid,car,0.025,8765,2021-10-11
796355,1001198,5000,0.0542,150.8,A,A1,Fully Paid,car,0.0218,5429,2021-06-11
868443,1082151,3200,0.0542,96.52,A,A1,Fully Paid,car,0.0651,3468,2021-09-11
683816,873188,7400,0.0542,223.19,A,A1,Fully Paid,car,0.2075,7556,2021-03-11
1023029,1251828,5000,0.0603,152.18,A,A1,Fully Paid,car,0.1782,5478,2021-11-11
886517,1102391,5000,0.0603,152.18,A,A1,Fully Paid,car,0.1872,5478,2021-09-11
1001581,1227382,6000,0.0603,182.62,A,A1,Fully Paid,car,0.238,6493,2021-10-11
1004019,1230439,6000,0.0603,182.62,A,A1,Fully Paid,car,0.2407,6569,2021-10-11
675716,863546,9000,0.0542,271.44,A,A1,Fully Paid,car,0.2293,9772,2021-02-11
887254,1103400,7200,0.0603,219.14,A,A1,Fully Paid,car,0.1658,7889,2021-10-11
865714,1078994,5650,0.0542,170.41,A,A1,Fully Paid,car,0.1732,6067,2021-09-11
770503,972180,6000,0.0599,182.51,A,A2,Fully Paid,car,0.1406,6194,2021-06-11
548151,706758,3500,0.0676,107.69,A,A2,Fully Paid,car,0.1976,3877,2021-07-10
542312,699868,4000,0.0676,123.07,A,A2,Fully Paid,car,0.0618,4431,2021-07-10
1008323,1234988,6000,0.0751,186.67,A,A3,Fully Paid,car,0.2935,6714,2021-11-11
457893,569597,7000,0.0774,218.54,A,A3,Fully Paid,car,0.0429,7867,2021-11-09
451579,556476,5000,0.0774,156.1,A,A3,Fully Paid,car,0.0234,5584,2021-10-09
1027822,1257204,1800,0.0751,56,A,A3,Fully Paid,car,0.2692,2013,2021-11-11
700052,891691,10000,0.0692,308.41,A,A3,Fully Paid,car,0.203,11103,2021-04-11
661459,845936,6500,0.0729,201.57,A,A4,Fully Paid,car,0.1988,7257,2021-02-11
768140,969361,5000,0.0749,155.51,A,A4,Fully Paid,car,0.1433,5312,2021-05-11
823069,1031607,8000,0.0749,248.82,A,A4,Fully Paid,car,0.0286,8615,2021-07-11
761499,961964,8000,0.0749,248.82,A,A4,Fully Paid,car,0.1825,8957,2021-05-11
390651,425903,8000,0.0932,255.58,A,A4,Fully Paid,car,0.0518,9201,2021-04-09
483645,615502,6000,0.0751,186.66,A,A4,Fully Paid,car,0.1831,6720,2021-02-10
866551,1079988,3000,0.0749,93.31,A,A4,Fully Paid,car,0.1916,3359,2021-09-11
394295,432897,15000,0.0963,481.42,A,A5,Fully Paid,car,0.1257,17331,2021-04-09
472637,596861,8700,0.0705,268.83,A,A1,Fully Paid,car,0.0267,9538,2021-12-09
732697,928926,5600,0.0542,168.9,A,A1,Fully Paid,car,0.04,6080,2021-04-11
628369,805177,1800,0.0617,54.9,A,A3,Fully Paid,car,0.1997,1977,2021-12-10
842807,1053506,7000,0.0749,217.72,A,A4,Fully Paid,car,0.1883,7838,2021-08-11
564180,725950,4600,0.0639,140.76,A,A1,Fully Paid,car,0.052,5068,2021-08-10
464609,582432,2000,0.074,62.12,A,A2,Fully Paid,car,0.1004,2036,2021-12-09
1050642,1281883,3800,0.0662,116.68,A,A2,Fully Paid,car,0.1207,4187,2021-12-11
710680,903454,5000,0.0579,151.64,A,A2,Fully Paid,car,0.1129,5459,2021-03-11
390765,426115,10000,0.08,313.37,A,A3,Fully Paid,car,0.0036,10513,2021-04-09
1026512,1255698,3000,0.0603,91.31,A,A1,Fully Paid,car,0.0118,3287,2021-11-11
471543,595343,16000,0.0705,494.4,A,A1,Fully Paid,car,0.064,17370,2021-12-09
873529,1087835,1300,0.0542,39.21,A,A1,Fully Paid,car,0.067,1411,2021-09-11
550334,709388,4500,0.0676,138.46,A,A2,Fully Paid,car,0.0829,4613,2021-07-10
361816,370608,5000,0.08,156.69,A,A3,Fully Paid,car,0.0428,5641,2021-11-08
399481,442237,9000,0.08,282.03,A,A3,Fully Paid,car,0.0898,10153,2021-05-09
446873,546914,2000,0.0859,63.23,A,A4,Fully Paid,car,0.1596,2260,2021-10-09
887905,1104233,4000,0.0603,121.75,A,A1,Fully Paid,car,0.1753,4383,2021-09-11
834628,1044500,3500,0.0542,105.56,A,A1,Fully Paid,car,0.0585,3800,2021-08-11
803977,1009793,6000,0.0542,180.96,A,A1,Fully Paid,car,0.044,6515,2021-07-11
460501,574859,5000,0.074,155.3,A,A2,Fully Paid,car,0.0317,5398,2021-11-09
500124,642219,8000,0.0714,247.52,A,A3,Fully Paid,car,0.0329,8906,2021-04-10
421959,496234,3000,0.0932,95.85,A,A4,Fully Paid,car,0.0833,3189,2021-07-09
1040942,1271153,6000,0.079,187.75,A,A4,Fully Paid,car,0.2009,6395,2021-12-11
694067,884942,4000,0.0542,120.64,A,A1,Fully Paid,car,0.0725,4343,2021-03-11
720394,914846,5600,0.0692,172.71,A,A3,Fully Paid,car,0.0061,6130,2021-04-11
360506,368318,4000,0.08,125.35,A,A3,Fully Paid,car,0.0507,4512,2021-11-08
673841,861281,3050,0.0729,94.59,A,A4,Fully Paid,car,0.014,3170,2021-02-11
667916,853863,6000,0.0542,180.96,A,A1,Fully Paid,car,0.1429,6515,2021-02-11
708650,901168,5000,0.0692,154.21,A,A3,Fully Paid,car,0.0217,5543,2021-03-11
608757,780895,15000,0.0691,280.61,A,A5,Fully Paid,car,0.234,10102,2021-11-10
645985,826524,7800,0.0542,235.25,A,A1,Fully Paid,car,0.0524,8388,2021-01-11
784380,987587,4500,0.0542,135.72,A,A1,Fully Paid,car,0.109,4680,2021-06-11
863309,1076434,5900,0.0599,179.47,A,A2,Fully Paid,car,0.205,6461,2021-09-11
831388,1040609,2000,0.0749,62.21,A,A4,Fully Paid,car,0.2712,2239,2021-08-11
726906,922378,3000,0.0729,93.03,A,A4,Fully Paid,car,0.0737,3292,2021-04-11
749594,948842,3600,0.0542,108.58,A,A1,Fully Paid,car,0.15,3909,2021-05-11
1039551,1269489,5500,0.0603,167.4,A,A1,Fully Paid,car,0.1085,6026,2021-11-11
725132,920343,5900,0.0766,183.97,A,A5,Fully Paid,car,0.1734,6534,2021-04-11
759237,959469,4000,0.0542,120.64,A,A1,Fully Paid,car,0.1927,4343,2021-05-11
388170,421436,12000,0.0737,372.55,A,A1,Fully Paid,car,0.101,13412,2021-03-09
455641,565159,10000,0.0788,312.81,A,A5,Fully Paid,car,0.0909,11277,2021-02-10
1031003,1260425,4000,0.0603,121.75,A,A1,Fully Paid,car,0.0271,4383,2021-11-11
396521,436823,8000,0.08,250.69,A,A3,Fully Paid,car,0.0432,8551,2021-05-09
808963,1015737,5000,0.0542,150.8,A,A1,Fully Paid,car,0.2096,5429,2021-07-11
1044077,1274416,3000,0.0662,92.12,A,A2,Fully Paid,car,0.1632,3316,2021-11-11
697609,888953,4000,0.0729,124.04,A,A4,Fully Paid,car,0.1041,4465,2021-03-11
757255,957278,8000,0.0849,252.51,A,A5,Fully Paid,car,0.1647,9090,2021-06-11
713504,906743,2100,0.0766,65.48,A,A5,Fully Paid,car,0.1887,2357,2021-04-11
472636,596860,8000,0.0705,247.2,A,A1,Fully Paid,car,0.0173,8900,2021-01-10
764852,965621,6000,0.0542,180.96,A,A1,Fully Paid,car,0.0476,6515,2021-05-11
552448,711857,4400,0.0676,135.38,A,A2,Fully Paid,car,0.101,4858,2021-07-10
668787,855127,4975,0.0579,150.88,A,A2,Fully Paid,car,0.104,5432,2021-02-11
508736,656465,2100,0.0676,64.62,A,A2,Fully Paid,car,0.0281,2306,2021-04-10
719399,913732,4800,0.0579,145.57,A,A2,Fully Paid,car,0.1387,4930,2021-04-11
707303,899636,4000,0.0579,121.31,A,A2,Fully Paid,car,0.0885,4299,2021-03-11
788944,992748,3000,0.0599,91.26,A,A2,Fully Paid,car,0.2255,3285,2021-06-11
597469,766903,1925,0.0676,59.23,A,A2,Fully Paid,car,0.1527,2013,2021-10-10
987462,1211442,8000,0.0751,248.89,A,A3,Fully Paid,car,0.0858,8936,2021-10-11
661158,845559,5000,0.0542,150.8,A,A1,Fully Paid,car,0.0514,5429,2021-01-11
1010097,1236893,1500,0.0603,45.66,A,A1,Fully Paid,car,0.1446,1529,2021-11-11
484323,616593,4800,0.0639,146.88,A,A1,Fully Paid,car,0.1452,5288,2021-06-10
489841,625184,11000,0.0788,344.09,A,A5,Fully Paid,car,0.2297,11796,2021-03-10
1022407,1251195,6000,0.0662,184.23,A,A2,Fully Paid,car,0.1034,6514,2021-11-11
1027067,1256261,7750,0.0662,237.96,A,A2,Fully Paid,car,0.2038,8566,2021-11-11
466091,585294,4500,0.074,139.77,A,A2,Fully Paid,car,0.1276,5032,2021-12-09
737488,934676,6000,0.0692,185.05,A,A3,Fully Paid,car,0.089,6655,2021-04-11
839671,1049845,9600,0.0599,292.01,A,A2,Fully Paid,car,0.016,10512,2021-08-11
644846,825145,8000,0.0579,242.62,A,A2,Fully Paid,car,0.0728,8734,2021-01-11
511422,660596,1500,0.0714,46.41,A,A3,Fully Paid,car,0.048,1671,2021-05-10
840046,1050351,2000,0.0542,60.32,A,A1,Fully Paid,car,0.0188,2171,2021-08-11
470186,593497,16000,0.074,496.95,A,A2,Fully Paid,car,0.2152,17890,2021-01-10
810774,1017727,5000,0.0699,154.37,A,A3,Fully Paid,car,0.1452,5557,2021-07-11
591656,759924,6000,0.0751,186.67,A,A4,Fully Paid,car,0.1072,6641,2021-10-10
489630,624789,3900,0.0751,121.33,A,A4,Fully Paid,car,0.1048,4168,2021-03-10
504878,650279,11000,0.0751,342.21,A,A4,Fully Paid,car,0.0803,12106,2021-04-10
638309,817666,6000,0.0542,180.96,A,A1,Fully Paid,car,0.0807,6515,2021-12-10
636676,815592,6000,0.0579,181.97,A,A2,Fully Paid,car,0.0137,6551,2021-12-10
818975,1027019,4000,0.0599,121.67,A,A2,Fully Paid,car,0.1529,4254,2021-07-11
608997,773056,12975,0.0691,252.86,A,A5,Fully Paid,car,0.1018,8921,2021-11-10
775213,977451,3000,0.0542,90.48,A,A1,Fully Paid,car,0.0145,3257,2021-06-11
446193,423921,4000,0.074,124.24,A,A2,Fully Paid,car,0.1724,4472,2021-10-09
828138,1037146,3000,0.0599,91.26,A,A2,Fully Paid,car,0.1462,3071,2021-07-11
444464,541920,5950,0.0774,185.76,A,A3,Fully Paid,car,0.1139,5989,2021-09-09
481657,612600,9600,0.0751,298.65,A,A4,Fully Paid,car,0.0989,10669,2021-02-10
997561,1222660,5000,0.0751,155.56,A,A3,Fully Paid,car,0.1019,5061,2021-10-11
891766,1108628,5100,0.079,159.59,A,A4,Fully Paid,car,0.092,5734,2021-09-11
749248,948466,7000,0.0699,216.11,A,A3,Fully Paid,car,0.0559,7670,2021-05-11
353365,356975,3000,0.0832,78.72,A,A4,Fully Paid,car,0.0658,2834,2021-08-08
1032953,1262713,3500,0.089,111.14,A,A5,Fully Paid,car,0.1976,3526,2021-11-11
442982,538542,7000,0.0774,218.54,A,A3,Fully Paid,car,0.0317,7724,2021-09-09
888206,1104499,5200,0.0662,159.66,A,A2,Fully Paid,car,0.0908,5229,2021-09-11
793476,997991,4200,0.0599,127.76,A,A2,Fully Paid,car,0.1465,4430,2021-06-11
777143,979595,1200,0.0699,37.05,A,A3,Fully Paid,car,0.131,1305,2021-06-11
978335,1201393,3600,0.0603,109.57,A,A1,Fully Paid,car,0.1524,3768,2021-10-11
664660,849849,3000,0.0542,90.48,A,A1,Fully Paid,car,0.1035,3099,2021-02-11
510217,658773,4000,0.0676,123.08,A,A2,Fully Paid,car,0.1276,4431,2021-05-10
578534,743854,4650,0.0788,145.46,A,A5,Fully Paid,car,0.1593,5237,2021-09-10
795748,1000505,1450,0.0849,45.77,A,A5,Fully Paid,car,0.1605,1647,2021-06-11
660364,844598,2400,0.0692,74.02,A,A3,Fully Paid,car,0.2488,2572,2021-01-11
869076,1064045,6000,0.0749,186.61,A,A4,Fully Paid,car,0.0878,6527,2021-09-11
537890,694760,7000,0.0714,216.59,A,A3,Fully Paid,car,0.1166,7699,2021-06-10
441568,535793,8000,0.0774,249.75,A,A3,Fully Paid,car,0.1547,8934,2021-09-09
784597,963690,7500,0.0599,228.14,A,A2,Fully Paid,car,0.026,7911,2021-06-11
617174,791294,4200,0.0579,127.38,A,A2,Fully Paid,car,0.0757,4394,2021-11-10
1004390,1230821,5000,0.0662,153.52,A,A2,Fully Paid,car,0.1124,5182,2021-10-11
594970,763931,6000,0.0676,184.61,A,A2,Fully Paid,car,0.211,6416,2021-10-10
577896,743084,5500,0.0751,171.11,A,A4,Fully Paid,car,0.0877,6138,2021-09-10
427621,451034,4500,0.0894,142.98,A,A5,Fully Paid,car,0.096,5125,2021-08-09
607161,778911,7200,0.0579,193.34,A,A2,Fully Paid,car,0.0398,6493,2021-11-10
1050591,1281827,4200,0.0662,128.96,A,A2,Fully Paid,car,0.1984,4642,2021-12-11
784065,987239,3600,0.0699,111.15,A,A3,Fully Paid,car,0.0982,4001,2021-06-11
973462,1195465,9600,0.0662,294.76,A,A2,Fully Paid,car,0.2227,10371,2021-10-11
375143,397032,5000,0.0768,155.96,A,A2,Fully Paid,car,0.1409,5614,2021-01-09
737546,934744,3000,0.0579,90.99,A,A2,Fully Paid,car,0.0764,3117,2021-04-11
571927,735661,7200,0.0714,222.78,A,A3,Fully Paid,car,0.1309,8020,2021-08-10
555691,715619,8500,0.0751,264.45,A,A4,Fully Paid,car,0.1149,9520,2021-07-10
563254,724759,4000,0.0714,123.77,A,A3,Fully Paid,car,0.0068,4117,2021-08-10
613392,786442,3500,0.0925,111.71,B,B2,Fully Paid,car,0.0913,4022,2021-11-10
582666,748779,5100,0.1075,166.37,B,B2,Fully Paid,car,0.2288,5989,2021-09-10
604494,775520,9600,0.0999,309.72,B,B4,Fully Paid,car,0.0764,10687,2021-10-10
768960,970363,4500,0.1199,149.45,B,B5,Fully Paid,car,0.0762,5316,2021-05-11
626313,802616,4000,0.1036,129.75,B,B5,Fully Paid,car,0.1929,4674,2021-12-10
485006,617757,11200,0.1025,362.71,B,B2,Fully Paid,car,0.2183,11655,2021-03-10
847572,1059082,9000,0.1099,294.61,B,B3,Fully Paid,car,0.1731,10606,2021-08-11
736278,933143,4200,0.1074,136.99,B,B4,Fully Paid,car,0.2493,4931,2021-04-11
478569,607608,3600,0.1148,118.69,B,B2,Fully Paid,car,0.1123,4256,2021-01-10
776333,978668,5000,0.1149,164.86,B,B4,Fully Paid,car,0.1775,5935,2021-06-11
694032,884903,3000,0.1111,98.38,B,B5,Fully Paid,car,0.1704,3157,2021-03-11
787055,990554,3250,0.1099,106.39,B,B3,Fully Paid,car,0.0231,3443,2021-06-11
431130,511576,3000,0.1126,98.59,B,B2,Fully Paid,car,0.1721,3430,2021-07-09
1004136,1230766,5000,0.0991,161.13,B,B1,Fully Paid,car,0.1865,5800,2021-10-11
389965,395889,12000,0.1218,399.6,B,B4,Fully Paid,car,0.0903,14275,2021-10-09
676230,864190,15000,0.1,484.01,B,B2,Fully Paid,car,0.0539,17424,2021-03-11
788986,992800,3050,0.1059,99.27,B,B2,Fully Paid,car,0.0549,3225,2021-06-11
494363,632851,3300,0.1099,108.03,B,B4,Fully Paid,car,0.1125,3712,2021-03-10
561280,722341,5600,0.1075,182.68,B,B2,Fully Paid,car,0.1896,6340,2021-08-10
636721,815649,12000,0.0962,385.07,B,B3,Fully Paid,car,0.0729,13631,2021-12-10
1037682,1267588,4800,0.1242,160.4,B,B4,Fully Paid,car,0.0964,5774,2021-12-11
611873,784596,3800,0.0999,122.6,B,B4,Fully Paid,car,0.2402,4414,2021-11-10
554118,713865,1700,0.1075,55.46,B,B2,Fully Paid,car,0.1532,1970,2021-07-10
781298,984137,8500,0.1114,278.85,B,B2,Fully Paid,car,0.2309,10038,2021-06-11
652490,834488,5525,0.1111,181.17,B,B5,Fully Paid,car,0.1459,5577,2021-01-11
707827,900219,12000,0.1037,389.3,B,B3,Fully Paid,car,0.0465,12843,2021-03-11
372096,390612,2500,0.1158,82.54,B,B3,Fully Paid,car,0.1451,2975,2021-01-09
831545,1040782,6000,0.0999,193.58,B,B1,Fully Paid,car,0.1268,6699,2021-08-11
485338,618278,9000,0.0988,289.9,B,B1,Fully Paid,car,0.106,10437,2021-02-10
497757,638159,7500,0.1062,244.2,B,B3,Fully Paid,car,0.1,8792,2021-04-10
296489,296474,18000,0.0976,578.79,B,B2,Fully Paid,car,0.0886,21247,2021-03-08
456763,567415,3500,0.1253,117.14,B,B5,Fully Paid,car,0.0691,3880,2021-11-09
784904,988157,6000,0.0999,193.58,B,B1,Fully Paid,car,0.2058,6366,2021-06-11
882693,1097939,1750,0.1065,57.01,B,B2,Fully Paid,car,0.2128,2052,2021-09-11
361726,370454,5375,0.1051,174.73,B,B2,Fully Paid,car,0.198,5988,2021-11-08
444554,542120,9500,0.1287,319.52,C,C1,Fully Paid,car,0.025,11012,2021-10-09
512859,662623,6000,0.1273,201.4,C,C1,Fully Paid,car,0.1761,7251,2021-05-10
696646,887830,4000,0.138,136.33,C,C4,Fully Paid,car,0.1429,4908,2021-03-11
536605,693209,4800,0.1472,165.74,C,C5,Fully Paid,car,0.1165,5499,2021-06-10
427684,505430,3600,0.1347,122.13,C,C4,Fully Paid,car,0.1528,4242,2021-07-09
735694,932478,7600,0.1523,264.32,C,C5,Fully Paid,car,0.0961,9515,2021-05-11
458516,570794,10000,0.1426,343.06,C,C5,Fully Paid,car,0.0895,12350,2021-12-09
732431,928636,2500,0.1268,83.86,C,C1,Fully Paid,car,0.0492,2829,2021-04-11
495428,634592,6400,0.1311,215.97,C,C2,Fully Paid,car,0.1915,7438,2021-03-10
737746,934984,5000,0.1417,171.31,C,C5,Fully Paid,car,0.1406,6040,2021-04-11
970187,1191431,5600,0.1596,196.77,C,C5,Fully Paid,car,0.118,6969,2021-09-11
1008709,1235403,4000,0.1349,135.73,C,C1,Fully Paid,car,0.1732,4871,2021-11-11
364302,374794,6000,0.1304,202.28,C,C5,Fully Paid,car,0.1106,7282,2021-12-08
793800,998342,3600,0.1599,126.55,D,D2,Fully Paid,car,0.1276,4556,2021-06-11
572542,736455,4000,0.1595,140.53,D,D4,Fully Paid,car,0.1586,4995,2021-08-10
510506,659194,3000,0.1533,104.49,D,D3,Fully Paid,car,0.11,3647,2021-05-10
366128,377327,4000,0.0932,127.79,A,A4,Fully Paid,car,0.0676,4059,2021-12-08
549126,707878,4000,0.0676,123.07,A,A2,Fully Paid,car,0.2209,4424,2021-07-10
472180,596143,16000,0.0705,494.4,A,A1,Fully Paid,car,0.0694,17719,2021-01-10
864280,1077447,2500,0.0542,75.4,A,A1,Fully Paid,car,0.092,2512,2021-08-11
986915,1210906,3000,0.0751,93.34,A,A3,Fully Paid,car,0.0335,3360,2021-10-11
664738,849947,2000,0.0692,61.69,A,A3,Fully Paid,car,0.1447,2142,2021-02-11
361916,370824,4800,0.08,150.42,A,A3,Fully Paid,car,0.1781,4832,2021-11-08
771076,972813,4800,0.0749,149.29,A,A4,Fully Paid,car,0.1393,5374,2021-06-11
806215,998690,7000,0.0849,220.95,A,A5,Fully Paid,car,0.0177,7145,2021-07-11
600776,771025,3000,0.0579,90.99,A,A2,Fully Paid,car,0.1115,3263,2021-10-10
743687,941999,5400,0.0542,162.87,A,A1,Fully Paid,car,0.1368,5856,2021-05-11
588608,756206,3500,0.0676,107.69,A,A2,Fully Paid,car,0.2494,3742,2021-10-10
880239,1095196,6000,0.0603,182.62,A,A1,Fully Paid,car,0.0225,6422,2021-09-11
701662,893426,5375,0.0579,163.01,A,A2,Fully Paid,car,0.1517,5868,2021-03-11
620935,795814,9900,0.0654,303.61,A,A4,Fully Paid,car,0.0806,10930,2021-11-10
1030418,1259806,2500,0.0603,76.09,A,A1,Fully Paid,car,0.0775,2717,2021-11-11
778086,980621,1000,0.0699,30.88,A,A3,Fully Paid,car,0.0808,1055,2021-06-11
406033,454370,6000,0.08,188.02,A,A3,Fully Paid,car,0.1323,6739,2021-05-09
851757,1063721,5000,0.0849,157.82,A,A5,Fully Paid,car,0.1161,5414,2021-08-11
386541,418858,10400,0.0737,322.88,A,A1,Fully Paid,car,0.1207,11623,2021-03-09
680433,869236,2500,0.0692,77.11,A,A3,Fully Paid,car,0.0821,2736,2021-02-11
381104,409174,1800,0.0737,55.89,A,A1,Fully Paid,car,0.0725,2012,2021-02-09
